Created_at,Place,User,Text
2021-11-12 15:37:15+00:00,,Vishant Mittal,(in my best chadwick baseman voice)Get this man @MatthewWade13 an IPL contract #PAKVSAUS#INDVSPAK#IPL#BCCI#INDIA#AUSTRAILIA
2021-11-12 15:23:16+00:00,,FirstSportz,"India v Pakistan on 3️⃣1️⃣st July 🇮🇳🔥

#India #Pakistan #IndVsPak #Commonwealth #CricketTwitter https://t.co/Kfh0YlvLwF"
2021-11-12 14:45:16+00:00,,Samiya Javaid,"#PAKVSAUS #ShaheenShahAfridi #Hasan_Ali #BabarAzam #T20WorldCup #India #IndiaVsPak 
To All Haters. To every nonsense #Indian troller. 
Watch The Highlights of #IndVsPak ⬇️ https://t.co/ECJIFUwMFo"
2021-11-12 14:24:58+00:00,,ShruTim Paine 🇦🇺,"@CricCrazyJohns @cricketpun_duh @Carpo34 Just out of curiosity, which team were you supporting in INDvsPAK? https://t.co/NoSZLJzsAY"
2021-11-12 14:18:58+00:00,,rakesh murthy,@iramizraja are you still busy adding zeroes in that Blank Cheque ??? #IndVsPak #PAKVSAUS #T20WorldCup2021 #WorldCupT20
2021-11-12 14:15:27+00:00,,rakesh murthy,@iramizraja Did You Get the Blank Cheque From the Pakistani businessman ???? Did @TheRealPCB @TheRealPCBMedia cash in the Cheque ???? #IndVsPak #T20WorldCup #Pakistan Cricket #harbhajansingh
2021-11-12 13:46:29+00:00,,RD,"Imran:It is not right to negotiate with India, now they have lost. #IndVsPak
Modi: Right now they have lost in front of Australia, now it will not be right to talk on POK,if they lose in front of us, then 93000 will have to surrender again 😂#PAKvAUS
@TheWolfpackIN
@Its_Hunter007"
2021-11-12 13:30:00+00:00,,RSDigitX Pvt. Ltd.,"Normal Marketing vs Meme Marketing🤣
#marketing #marketingdigital #business #digitalmarketing #branding #socialmedia  #instagram #socialmediamarketing  #advertising #indiavspakistan #worldcup #indvspak #viratkohli  #cricket #pakistan https://t.co/3Sj8mtNIbq"
2021-11-12 13:18:42+00:00,,Nikhil Shetty 🇮🇳,"Sometimes maybe good sometimes maybe shit.😂🥲
#IndVsPak 
#PAKvAUS 
#T20WorldCup https://t.co/GqDf1G2VCD"
2021-11-12 13:10:14+00:00,,AB,"Take it as sports , not everything llike #IndvsPak #INDwithHasanAli"
2021-11-12 12:28:57+00:00,,Salman Muhammad,@iShaheenAfridi You were sensational in this tournament champ. Hold your head high. Your spell against india will be remembered for a long time! Indian batters will have it in nightmares for even longer time 🤣 #T20WorldCup #PAKvIND #IndVsPak #PCB #BCCI
2021-11-12 12:19:04+00:00,,Hassan Raza,On 24th Oct #IndVsPak 🙂 https://t.co/xFEfQBckRi
2021-11-12 12:03:17+00:00,,Faysal Bank Limited,"Well played Team Pakistan. You are the Champions of our Hearts. Continue to have Belief &amp; Faith. Next time, insha-Allah!

#Faysalislami #Faysalbank  #FaysalIslamiTezTareen #TezTareen #T20WorldCup #ICC #Cricket #IndvsPak #NZvsPak #Bowling #ShaheenShahAfridi #SayaCorporation https://t.co/sfcm02QuOS"
2021-11-12 11:37:22+00:00,,Aɴʙᴜʙᴏʏ_ᴅFᴄ 45 ,"First #MohammedShami went through many abuses as he didn't bowl well in #INDvsPaK match. And #Pakistan cricket players stood for that &amp; showed their love towards #India 

Now its time for us ( we INDIANs ) to support #HasanAli &amp; stop making PAK fans abuse him
 #INDwithHasanAli 💙"
